"rebalance_index","decision_date","train_window_n"
2953,2019-01-02,2953
2975,2019-02-04,2975
2997,2019-03-07,2997
3019,2019-04-08,3019
3041,2019-05-09,3041
3063,2019-06-11,3063
3085,2019-07-12,3085
3107,2019-08-13,3107
3129,2019-09-13,3129
3151,2019-10-15,3151
3173,2019-11-14,3173
3195,2019-12-17,3195
3217,2020-01-21,3217
3239,2020-02-21,3239
3261,2020-03-24,3261
3283,2020-04-24,3283
3305,2020-05-27,3305
3327,2020-06-26,3327
3349,2020-07-29,3349
3371,2020-08-28,3371
3393,2020-09-30,3393
3415,2020-10-30,3415
3437,2020-12-02,3437
3459,2021-01-05,3459
3481,2021-02-05,3481
3503,2021-03-10,3503
3525,2021-04-12,3525
3547,2021-05-12,3547
3569,2021-06-14,3569
3591,2021-07-15,3591
3613,2021-08-16,3613
3635,2021-09-16,3635
3657,2021-10-18,3657
3679,2021-11-17,3679
3701,2021-12-20,3701
3723,2022-01-21,3723
3745,2022-02-23,3745
3767,2022-03-25,3767
3789,2022-04-27,3789
3811,2022-05-27,3811
3833,2022-06-30,3833
3855,2022-08-02,3855
3877,2022-09-01,3877
3899,2022-10-04,3899
3921,2022-11-03,3921
3943,2022-12-06,3943
3965,2023-01-09,3965
3987,2023-02-09,3987
4009,2023-03-14,4009
4031,2023-04-14,4031
4053,2023-05-16,4053
4075,2023-06-16,4075
4097,2023-07-20,4097
4119,2023-08-21,4119
4141,2023-09-21,4141
4163,2023-10-23,4163
4185,2023-11-22,4185
4207,2023-12-26,4207
4229,2024-01-29,4229
4251,2024-02-29,4251
4273,2024-04-02,4273
4295,2024-05-02,4295
4317,2024-06-04,4317
4339,2024-07-08,4339
4361,2024-08-07,4361
4383,2024-09-09,4383
4405,2024-10-09,4405
4427,2024-11-08,4427
4449,2024-12-11,4449
4471,2025-01-15,4471
4493,2025-02-18,4493
4515,2025-03-20,4515
4537,2025-04-22,4537
4559,2025-05-22,4559
4581,2025-06-25,4581
4603,2025-07-28,4603
4625,2025-08-27,4625
4647,2025-09-29,4647
4669,2025-10-29,4669
4691,2025-12-01,4691
4713,2026-01-02,4713
4735,2026-02-04,4735
4757,2026-03-09,4757
4779,2026-04-09,4779
