"series","mu","phi","sigma"
"SPY",-2.2932298376048,0.999,0.0374441728364162
"TLT",-11.388060014457,0.998514227206327,0.0459552370342025
"HYG",-11.7004693760581,0.998140957904275,0.0841054832138973
"QQQ",-11.0842507839366,0.9953195517732,0.0679026020042222
"IWM",-10.5642783920313,0.996611639606703,0.0475976453282171
"EFA",-11.5859913293341,0.99064764420641,0.0618544102857195
"EEM",-6.75368097786484,0.999,0.0261632632653793
"SHY",-4.79667752439903,0.999,0.0278626908999872
"LQD",-8.59369367701044,0.999,0.0819209617862743
"GLD",-9.61571988130446,0.997954852298428,0.0526062360782932
"Factor1",-0.049632385697206,0.999,0.04282132313801
"Factor2",0.308437460166603,0.996815818765166,0.0807813866229052
"Factor3",0.0127909947401885,0.998825705474643,0.023678210645821
