"budget","strategy","period","mean_equity_weight"
"pf1","Rolling_MeanVar_22d","gfc",NA
"pf1","Rolling_MeanVar_22d","covid",0.45
"pf1","Rolling_MeanVar_22d","rate_shock_2022",0.45
"pf1","FSV_MeanVar_22d","gfc",NA
"pf1","FSV_MeanVar_22d","covid",0.45
"pf1","FSV_MeanVar_22d","rate_shock_2022",0.45
"pf2","Rolling_MeanVar_22d","gfc",NA
"pf2","Rolling_MeanVar_22d","covid",0.6
"pf2","Rolling_MeanVar_22d","rate_shock_2022",0.6
"pf2","FSV_MeanVar_22d","gfc",NA
"pf2","FSV_MeanVar_22d","covid",0.6
"pf2","FSV_MeanVar_22d","rate_shock_2022",0.6
"global_minvar","Rolling_MinVar_22d","gfc",NA
"global_minvar","Rolling_MinVar_22d","covid",0.170256555053065
"global_minvar","Rolling_MinVar_22d","rate_shock_2022",0.41499572515159
"global_minvar","FSV_MinVar_22d","gfc",NA
"global_minvar","FSV_MinVar_22d","covid",0.397771352857924
"global_minvar","FSV_MinVar_22d","rate_shock_2022",0.456587843372981
